bird_id,date,start_time,end_time,lat,lon,taxa,behavior,mesohabitat,photo_id,time,distance,transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon
552,5/6/2019,8:20,10:20,34.78077,-115.66394,Black-throated Sparrow,Sitting on Plant,shrub,392-401,9:25,2,2,,,,
553,5/6/2019,8:20,10:20,,,Mourning Dove,Singing,no visual,,9:20,3,2,,,,
554,5/6/2019,8:20,10:20,34.78081,-115.66359,Mourning Dove,Flying,air,,9:26,1,2,,,,
555,5/6/2019,8:20,10:20,34.78081,-115.66359,Mourning Dove,Flying,air,,9:26,1,2,,,,
556,5/6/2019,8:20,10:20,34.78086,-115.66392,White-throated Swift,Flying,air,,9:27,2,2,,,,
557,5/6/2019,8:20,10:20,34.78086,-115.66392,White-throated Swift,Flying,air,,9:27,2,2,,,,
558,5/6/2019,8:20,10:20,34.78074,-115.66311,Say's Phoebe,Singing,cactus canopy,,9:27,2,2,,,,
559,5/6/2019,8:20,10:20,,,Phainopepla,Calling,no visual,,9:32,3,2,,,,
560,5/6/2019,8:20,10:20,,,Rock Wren,Singing,rock,,9:35,2,2,,,,
561,5/6/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:40,3,2,,,,
562,5/6/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:40,3,2,,,,
563,5/6/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:40,3,2,,,,
564,5/6/2019,8:20,10:20,,,Violet-green Swallow,Flying,air,407-422,9:42,2,2,,,,
565,5/6/2019,8:20,10:20,,,Black-throated Sparrow,Calling,no visual,,9:45,2,2,,,,
566,5/6/2019,8:20,10:20,34.78178,-115.66355,Black-throated Sparrow,Sitting on Plant,shrub,423-424,9:50,1,2,,,,
567,5/6/2019,8:20,10:20,34.78192,-115.66366,Black-throated Sparrow,Calling,shrub,425,9:50,1,2,,,,
568,5/6/2019,8:20,10:20,34.78194,-115.66371,Rock Wren,Flying,air,,9:53,1,2,,,,
569,5/6/2019,8:20,10:20,34.78198,-115.6636,Costa's Hummingbird,Flying,air,,9:55,1,2,,,,
570,5/6/2019,8:20,10:20,34.78231,-115.66328,Black-throated Sparrow,Standing on Ground,gravel,,10:00,2,2,,,,
571,5/6/2019,8:20,10:20,34.78231,-115.66328,Black-throated Sparrow,Standing on Ground,gravel,,10:00,2,2,,,,
572,5/6/2019,8:20,10:20,,,Violet-green Swallow,Flying,air,,9:58,3,2,,,,
573,5/6/2019,8:20,10:20,34.7826,-115.66294,Blue-gray Gnatcatcher,Singing,shrub,456,10:10,1,2,,,,
574,5/6/2019,8:20,10:20,34.7826,-115.66294,Blue-gray Gnatcatcher,Singing,shrub,456,10:10,1,2,,,,
575,5/6/2019,8:20,10:20,34.7826,-115.66294,Blue-gray Gnatcatcher,Singing,shrub,456,10:10,1,2,,,,
576,5/6/2019,8:20,10:20,34.7826,-115.66294,Blue-gray Gnatcatcher,Singing,shrub,456,10:10,1,2,,,,
577,5/6/2019,8:20,10:20,34.7826,-115.66294,Blue-gray Gnatcatcher,Singing,shrub,456,10:10,1,2,,,,
578,5/6/2019,8:20,10:20,34.78275,-115.66302,Gambel's Quail,Walking,wash,450-455,10:05,1,2,,,,
579,5/6/2019,8:20,10:20,34.78275,-115.66302,Gambel's Quail,Walking,wash,450-455,10:05,1,2,,,,
580,5/6/2019,8:20,10:20,34.78294,-115.6629,Verdin,Flying Between Plants,shrub,,10:10,1,2,,,,
581,5/6/2019,8:20,10:20,34.78294,-115.6629,Verdin,Flying Between Plants,shrub,,10:10,1,2,,,,
582,5/6/2019,8:20,10:20,34.78294,-115.6629,Verdin,Flying Between Plants,shrub,,10:10,1,2,,,,
583,5/6/2019,8:20,10:20,34.78294,-115.6629,Verdin,Flying Between Plants,shrub,,10:10,1,2,,,,
584,5/6/2019,8:20,10:20,34.78294,-115.6629,Verdin,Flying Between Plants,shrub,,10:10,1,2,,,,
585,5/6/2019,8:20,10:20,34.78294,-115.6629,Verdin,Flying Between Plants,shrub,,10:10,1,2,,,,
586,5/6/2019,8:20,10:20,34.78305,-115.6628,Northern Mockingbird,Flying,air,,10:15,2,2,,,,
587,5/6/2019,8:20,10:20,,,Canyon Wren,Singing,no visual,,10:16,3,2,,,,
588,5/6/2019,8:20,10:20,,,Black-throated Sparrow,Calling,no visual,,10:17,2,2,,,,
589,5/6/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,10:17,2,2,,,,
590,5/6/2019,8:20,10:20,,,Black-throated Sparrow,Calling,no visual,,10:17,2,2,,,,
591,5/6/2019,8:20,10:20,,,Hummingbird,Flying,no visual,,10:18,1,2,,,,
592,5/6/2019,16:10,18:10,34.78275,-115.66245,Hummingbird,Flying,air,,16:25,1,1,,,,
593,5/6/2019,16:10,18:10,34.78273,-115.66245,Wilson's Warbler,Foraging,cactus canopy,497-562,16:26,1,1,,,,
593.5,5/6/2019,16:10,18:10,34.78264,-115.66245,Black-throated Sparrow,Flying,rock,,16:27,1,1,,,,
594,5/6/2019,16:10,18:10,34.78263,-115.66246,Phainopepla,Flying,air,,16:30,1,1,,,,
595,5/6/2019,16:10,18:10,,,Blue-gray Gnatcatcher,Singing,no visual,,16:43,2,1,,,,
596,5/6/2019,16:10,18:10,,,Costa's Hummingbird,Singing,air,,16:45,1,1,,,,
597,5/6/2019,16:10,18:10,,,Mourning Dove,Flying,air,,16:46,1,1,,,,
598,5/6/2019,16:10,18:10,34.78172,-115.662,Mourning Dove,Flying,air,,16:48,3,1,,,,
599,5/6/2019,16:10,18:10,,,Black-throated Sparrow,Flying,cactus canopy,,16:50,3,1,,,,
600,5/6/2019,16:10,18:10,34.78172,-115.66199,Rock Wren,Singing,,,16:43,1,1,,,,
601,5/6/2019,16:10,18:10,34.78193,-115.66228,Northern Mockingbird,Sitting on Plant,cactus canopy,,16:45,1,1,,,,
602,5/6/2019,16:10,18:10,,,Blue-gray Gnatcatcher,Singing,no visual,,16:57,1,1,,,,
603,5/6/2019,16:10,18:10,34.78207,-115.66267,Hummingbird,Foraging,shrub,,17:00,1,1,,,,
604,5/6/2019,16:10,18:10,34.78188,-115.66256,Rock Wren,Walking,grass,,17:02,1,1,,,,
605,5/6/2019,16:10,18:10,34.78155,-115.66219,Northern Mockingbird,Flying,air,,17:04,2,1,,,,
606,5/6/2019,16:10,18:10,34.78127,-115.66238,Black-throated Sparrow,Singing,cactus canopy,566-587,17:08,2,1,,,,
607,5/6/2019,16:10,18:10,,,Black-tailed Gnatcatcher,Singing,no visual,,17:12,1,1,,,,
608,5/6/2019,16:10,18:10,34.78115,-115.66299,Black-throated Sparrow,Singing,shrub,,17:17,1,1,,,,
609,5/6/2019,16:10,18:10,34.78083,-115.6627,Violet-green Swallow,Flying,air,,17:25,1,1,,,,
610,5/6/2019,16:10,18:10,34.78083,-115.6627,Violet-green Swallow,Flying,air,,17:25,1,1,,,,
611,5/6/2019,16:10,18:10,34.78083,-115.6627,White-throated Swift,Sparring,air,,17:25,1,1,,,,
612,5/6/2019,16:10,18:10,,,Costa's Hummingbird,Singing,no visual,,17:28,3,1,,,,
613,5/6/2019,16:10,18:10,,,Canyon Wren,Singing,no visual,,17:29,3,1,,,,
614,5/6/2019,16:10,18:10,34.77982,-115.66308,Say's Phoebe,Sitting on Plant,cactus canopy,588-591,17:47,1,1,,,,
615,5/6/2019,16:10,18:10,34.77882,-115.66316,Ash-throated Flycatcher,Calling,shrub,,17:57,1,1,,,,
616,5/6/2019,16:10,18:10,34.77877,-115.66325,Ash-throated Flycatcher,Sitting on Plant,shrub,,17:57,1,1,,,,
617,5/7/2019,8:20,10:20,,,Canyon Wren,Singing,no visual,,8:21,3,2,,,,
618,5/7/2019,8:20,10:20,34.78306,-115.66309,Black-throated Sparrow,Calling,air,,8:25,1,2,,,,
619,5/7/2019,8:20,10:20,34.78265,-115.66323,Blue-gray Gnatcatcher,Singing,air,,8:35,1,2,,,,
620,5/7/2019,8:20,10:20,,,Cactus Wren,Singing,no visual,,8:39,2,2,,,,
621,5/7/2019,8:20,10:20,34.78252,-115.66285,Black-throated Sparrow,Calling,shrub,,8:39,2,2,,,,
622,5/7/2019,8:20,10:20,,,Mourning Dove,Calling,no visual,,8:40,2,2,,,,
623,5/7/2019,8:20,10:20,34.78241,-115.66338,Costa's Hummingbird,Sitting on Plant,shrub,,8:45,1,2,,,,
624,5/7/2019,8:20,10:20,,,House Finch,Singing,no visual,,8:46,2,2,,,,
625,5/7/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,8:47,2,2,,,,
626,5/7/2019,8:20,10:20,,,Townsend's Warbler,Foraging,shrub,Jan-97,8:50,1,2,,,,
627,5/7/2019,8:20,10:20,34.78206,-115.6634,Warbling Vireo,Foraging,shrub,Jan-97,8:50,1,2,,,,
628,5/7/2019,8:20,10:20,34.78206,-115.6634,Townsend's Warbler,Foraging,shrub,Jan-97,8:50,1,2,,,,
629,5/7/2019,8:20,10:20,34.78169,-115.66349,Black-throated Sparrow,Singing,shrub,,8:56,1,2,,,,
630,5/7/2019,8:20,10:20,34.78169,-115.66349,Black-throated Sparrow,Singing,shrub,,8:56,1,2,,,,
631,5/7/2019,8:20,10:20,,,Canyon Wren,Singing,no visual,,8:57,3,2,,,,
632,5/7/2019,8:20,10:20,34.78169,-115.66349,Blue-gray Gnatcatcher,Singing,shrub,,9:02,1,2,,,,
633,5/7/2019,8:20,10:20,34.78154,-115.66355,Costa's Hummingbird,Foraging,shrub,96-135,9:05,1,2,,,,
634,5/7/2019,8:20,10:20,,,Costa's Hummingbird,Singing,no visual,,9:14,3,2,,,,
635,5/7/2019,8:20,10:20,34.78121,-115.66349,Townsend's Warbler,Foraging,shrub,"136-188, 204-228",9:21,2,2,,,,
636,5/7/2019,8:20,10:20,34.78191,-115.66432,Pacific-slope Flycatcher,Sitting on Plant,shrub,189-203,9:21,2,2,,,,
637,5/7/2019,8:20,10:20,34.78099,-115.66432,Mourning Dove,Flying,air,,9:28,1,2,,,,
638,5/7/2019,8:20,10:20,34.78099,-115.66432,Mourning Dove,Flying,air,,9:28,1,2,,,,
639,5/7/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:30,3,2,,,,
640,5/7/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:30,3,2,,,,
641,5/7/2019,8:20,10:20,,,Northern Mockingbird,Singing,no visual,,9:35,3,2,,,,
642,5/7/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:52,3,2,,,,
643,5/7/2019,8:20,10:20,,,Gray Flycatcher,Sitting on Plant,shrub,326-328,9:55,2,2,,,,
644,5/7/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:57,3,2,,,,
645,5/7/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:57,3,2,,,,
646,5/7/2019,8:20,10:20,,,Black-throated Sparrow,Singing,no visual,,9:57,3,2,,,,
647,5/7/2019,8:20,10:20,,,Phainopepla,Calling,no visual,,10:05,3,2,,,,
648,5/7/2019,10:20,12:20,,,Ash-throated Flycatcher,Singing,no visual,,10:25,3,1,,,,
649,5/7/2019,10:20,12:20,,,Black-throated Sparrow,Singing,no visual,,10:36,3,1,,,,
650,5/7/2019,10:20,12:20,,,Black-throated Sparrow,Singing,no visual,,10:36,3,1,,,,
651,5/7/2019,10:20,12:20,,,Costa's Hummingbird,Singing,no visual,,10:46,1,1,,,,
652,5/7/2019,10:20,12:20,34.78035,-115.66224,Phainopepla,Sitting on Plant,cactus canopy,,10:46,2,1,,,,
653,5/7/2019,10:20,12:20,,,Blue-gray Gnatcatcher,Singing,no visual,,10:50,3,1,,,,
654,5/7/2019,10:20,12:20,34.78054,-115.66223,Cactus Wren,Singing,cactus canopy,335-354,10:54,2,1,,,,
655,5/7/2019,10:20,12:20,,,Canyon Wren,Singing,no visual,,10:55,3,1,,,,
656,5/7/2019,10:20,12:20,,,Cactus Wren,Singing,no visual,,11:00,3,1,,,,
657,5/7/2019,10:20,12:20,,,Rock Wren,Singing,rock,,11:01,2,1,,,,
658,5/7/2019,10:20,12:20,,,Rock Wren,Singing,rock,,11:01,2,1,,,,
659,5/7/2019,10:20,12:20,,,Northern Mockingbird,Flying,air,,11:01,1,1,,,,
660,5/7/2019,10:20,12:20,34.78109,-115.6627,Black-throated Sparrow,Calling,cactus canopy,355-356,11:02,1,1,,,,
661,5/7/2019,10:20,12:20,34.78109,-115.6627,Black-throated Sparrow,Calling,cactus canopy,355-356,11:02,1,1,,,,
662,5/7/2019,10:20,12:20,34.78109,-115.6627,Black-throated Sparrow,Calling,cactus canopy,355-356,11:02,1,1,,,,
663,5/7/2019,10:20,12:20,34.78162,-115.66263,Rock Wren,Walking,grass,,11:16,1,1,,,,
664,5/7/2019,10:20,12:20,,,Cactus Wren,Singing,no visual,,11:19,3,1,,,,
665,5/7/2019,10:20,12:20,,,House Finch,Singing,no visual,,11:24,3,1,,,,
666,5/7/2019,10:20,12:20,,,Mourning Dove,Singing,no visual,,11:25,3,1,,,,
667,5/7/2019,10:20,12:20,,,Black-throated Sparrow,Singing,no visual,,11:26,3,1,,,,
668,5/7/2019,10:20,12:20,,,Northern Mockingbird,Singing,no visual,,11:33,3,1,,,,
667.5,5/7/2019,10:20,12:20,,,Costa's Hummingbird,Singing,no visual,,11:35,1,1,,,,
668.5,5/7/2019,10:20,12:20,,,Common Raven,Calling,no visual,,12:00,3,1,,,,
669,5/7/2019,10:20,12:20,34.78279,-115.66274,Blue-gray Gnatcatcher,Singing,cactus canopy,,12:01,1,1,,,,
670,5/7/2019,10:20,12:20,34.78267,-115.66254,Black-throated Sparrow,Calling,air,,12:02,1,1,,,,
671,5/7/2019,10:20,12:20,,,Ash-throated Flycatcher,Singing,no visual,,12:10,3,1,,,,
672,5/7/2019,10:20,12:20,34.78288,-115.66261,Wilson's Warbler,Flying on Plant,shrub,,12:19,1,1,,,,
673,5/7/2019,12:20,14:20,,,House Finch,Singing,no visual,,12:22,3,2,,,,
674,5/7/2019,12:20,14:20,,,Canyon Wren,Singing,no visual,,12:22,3,2,,,,
675,5/7/2019,12:20,14:20,,,Black-throated Sparrow,Calling,no visual,,12:24,3,2,,,,
676,5/7/2019,12:20,14:20,34.78285,-115.66302,Black-throated Sparrow,Calling,shrub,357-360,12:26,1,2,,,,
677,5/7/2019,12:20,14:20,34.78285,-115.66302,Black-throated Sparrow,Calling,shrub,357-360,12:26,1,2,,,,
678,5/7/2019,12:20,14:20,,,Black-throated Sparrow,Singing,no visual,,12:37,3,2,,,,
679,5/7/2019,12:20,14:20,,,Black-throated Sparrow,Singing,shrub,,12:39,1,2,,,,
680,5/7/2019,12:20,14:20,,,Blue-gray Gnatcatcher,Singing,no visual,,12:50,2,2,,,,
681,5/7/2019,12:20,14:20,,,Black-tailed Gnatcatcher,Singing,no visual,,12:50,2,2,,,,
682,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
683,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
684,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
685,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
686,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
687,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
688,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
689,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
690,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Calling,air,,12:52,2,2,,,,
691,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Copulating,air,,12:52,2,2,,,,
692,5/7/2019,12:20,14:20,34.78236,-115.66376,White-throated Swift,Copulating,air,,12:52,2,2,,,,
693,5/7/2019,12:20,14:20,34.78247,-115.66373,Black-throated Sparrow,Sitting on Plant,cactus canopy,,12:56,2,2,,,,
694,5/7/2019,12:20,14:20,34.78247,-115.66373,Black-throated Sparrow,Sitting on Plant,cactus canopy,,12:56,2,2,,,,
695,5/7/2019,12:20,14:20,,,Common Raven,Calling,no visual,,12:57,2,2,,,,
696,5/7/2019,12:20,14:20,,,Costa's Hummingbird,Singing,no visual,,12:59,2,2,,,,
697,5/7/2019,12:20,14:20,,,Canyon Wren,Singing,no visual,,13:01,3,2,,,,
698,5/7/2019,12:20,14:20,34.78181,-115.66359,Gambel's Quail,Walking,gravel,,13:02,1,2,,,,
699,5/7/2019,12:20,14:20,,,Cactus Wren,Singing,no visual,,13:09,3,2,,,,
700,5/7/2019,12:20,14:20,34.78159,-115.66354,Blue-gray Gnatcatcher,Flying,shrub,,13:10,1,2,,,,
701,5/7/2019,12:20,14:20,,,Black-throated Sparrow,Singing,no visual,,13:21,3,2,,,,
702,5/7/2019,12:20,14:20,34.78125,-115.66379,Blue-gray Gnatcatcher,Singing,shrub,,13:25,2,2,,,,
703,5/7/2019,12:20,14:20,34.78125,-115.66379,Blue-gray Gnatcatcher,Singing,shrub,,13:25,2,2,,,,
704,5/7/2019,12:20,14:20,34.78125,-115.66379,Blue-gray Gnatcatcher,Singing,shrub,,13:25,2,2,,,,
705,5/7/2019,12:20,14:20,34.78125,-115.66379,Blue-gray Gnatcatcher,Singing,shrub,,13:25,2,2,,,,
706,5/7/2019,12:20,14:20,34.78125,-115.66379,Blue-gray Gnatcatcher,Singing,shrub,,13:25,2,2,,,,
707,5/7/2019,12:20,14:20,34.78138,-115.6636,Blue-gray Gnatcatcher,Singing,shrub,,13:29,1,2,,,,
708,5/7/2019,12:20,14:20,,,Black-throated Sparrow,Singing,no visual,,13:39,3,2,,,,
709,5/7/2019,12:20,14:20,,,Black-throated Sparrow,Singing,no visual,,13:39,3,2,,,,
710,5/7/2019,12:20,14:20,34.77924,-115.66386,Ash-throated Flycatcher,Flying,air,,13:54,1,2,,,,
711,5/7/2019,12:20,14:20,34.77913,-115.66386,Ash-throated Flycatcher,Sitting on Plant,shrub,361-363,13:54,1,2,,,,
712,5/7/2019,12:20,14:20,,,Gambel's Quail,Singing,no visual,,13:59,3,2,,,,
713,5/7/2019,12:20,14:20,34.77889,-115.66435,Black-throated Sparrow,Calling,shrub,,13:59,1,2,,,,
714,5/7/2019,12:20,14:20,34.77889,-115.66435,Black-throated Sparrow,Flying,shrub,,13:59,1,2,,,,
715,5/7/2019,12:20,14:20,,,Black-throated Sparrow,Singing,no visual,,14:05,3,2,,,,
716,5/7/2019,12:20,14:20,34.78259,-115.66274,Phainopepla,Flying,air,,14:17,2,2,,,,
717,5/8/2019,9:55,11:55,,,Phainopepla,Calling,no visual,,9:55,3,,,,,
718,5/8/2019,9:55,11:55,,,Canyon Wren,Singing,no visual,,9:56,3,,,,,
719,5/8/2019,9:55,11:55,34.78263,-115.66255,Black-tailed Gnatcatcher,Singing,shrub,,10:00,1,,,,,
720,5/8/2019,9:55,11:55,,,Black-throated Sparrow,Singing,no visual,,10:03,3,,,,,
721,5/8/2019,9:55,11:55,34.78281,-115.66261,Blue-gray Gnatcatcher,Singing,cactus canopy,,10:09,1,,,,,
722,5/8/2019,9:55,11:55,,,Black-throated Sparrow,Singing,no visual,,10:11,2,,,,,
723,5/8/2019,9:55,11:55,,,Black-throated Sparrow,Singing,no visual,,10:11,2,,,,,
724,5/8/2019,9:55,11:55,34.78231,-115.6624,Anna's Hummingbird,Sitting on Plant,shrub,43474,10:19,1,,,,,
725,5/8/2019,9:55,11:55,,,Canyon Wren,Singing,no visual,,10:23,3,,,,,
726,5/8/2019,9:55,11:55,34.78172,-115.66265,Rock Wren,Calling,rock,Oct-63,10:23,1,,fledglings,,,
727,5/8/2019,9:55,11:55,34.78172,-115.66265,Rock Wren,Calling,rock,Oct-63,10:23,1,,,,,
728,5/8/2019,9:55,11:55,34.78172,-115.66265,Rock Wren,Calling,rock,Oct-63,10:23,1,,,,,
729,5/8/2019,9:55,11:55,34.78172,-115.66265,Rock Wren,Calling,rock,Oct-63,10:23,1,,,,,
730,5/8/2019,9:55,11:55,34.78172,-115.66265,Rock Wren,Distraction Display,rock,21-63,10:23,1,,,,,
731,5/8/2019,9:55,11:55,34.78167,-115.66257,Ash-throated Flycatcher,Singing,air,,10:45,1,,,,,
732,5/8/2019,9:55,11:55,,,Costa's Hummingbird,Singing,no visual,,10:45,2,,display,,,
733,5/8/2019,9:55,11:55,34.78117,-115.66262,Northern Mockingbird,Sitting on Plant,cactus canopy,64-67,10:51,1,,,,,
734,5/8/2019,9:55,11:55,,,Black-throated Sparrow,Calling,no visual,,10:50,3,,,,,
735,5/8/2019,9:55,11:55,34.78127,-115.66266,Black-throated Sparrow,Calling,air,,10:57,1,,,,,
736,5/8/2019,9:55,11:55,34.78118,-115.66254,Black-throated Sparrow,Singing,cactus canopy,68-86,11:01,1,,,,,
737,5/8/2019,9:55,11:55,34.78122,-115.66255,Black-throated Sparrow,Singing,cactus canopy,,11:01,1,,,,,
738,5/8/2019,9:55,11:55,34.78129,-115.6627,Blue-gray Gnatcatcher,Foraging,shrub,92-95,11:09,1,,,,,
739,5/8/2019,9:55,11:55,34.78129,-115.6627,Blue-gray Gnatcatcher,Foraging,shrub,92-95,11:09,1,,,,,
740,5/8/2019,9:55,11:55,34.78129,-115.6627,Blue-gray Gnatcatcher,Foraging,shrub,92-95,11:09,1,,,,,
741,5/8/2019,9:55,11:55,34.78129,-115.6627,MacGillivray's Warbler,Foraging,shrub,87-124,11:09,1,,,,,
742,5/8/2019,9:55,11:55,34.78016,-115.66306,Northern Mockingbird,Foraging,grass,,11:31,1,,,,,
743,5/8/2019,9:55,11:55,34.78002,-115.66926,Costa's Hummingbird,Foraging,air,,11:36,1,,flag foraging,,,
744,5/8/2019,9:55,11:55,,,Black-throated Sparrow,Singing,no visual,,11:37,2,,,,,
745,5/8/2019,9:55,11:55,,,Black-throated Sparrow,Singing,no visual,,11:37,2,,,,,
746,5/8/2019,9:55,11:55,34.7792,-115.6631,Black-throated Sparrow,Calling,air,,11:44,1,,,,,
747,5/8/2019,9:55,11:55,34.7792,-115.6631,Black-throated Sparrow,Calling,air,,11:44,1,,,,,
748,5/8/2019,11:55,1:55,,,Black-throated Sparrow,Singing,no visual,,11:56,3,,,,,
749,5/8/2019,11:55,1:55,34.77831,-115.66405,Hooded Oriole,Flying,air,,12:03,2,,,,,
750,5/8/2019,11:55,1:55,,,Black-throated Sparrow,Calling,no visual,,12:05,2,,,,,
751,5/8/2019,11:55,1:55,34.77924,-115.66422,Hummingbird,Flying,shrub,,12:10,1,,,,,
752,5/8/2019,11:55,1:55,34.77941,-115.66437,Black-headed Grosbeak,Singing,shrub,,12:10,1,,,,,
753,5/8/2019,11:55,1:55,34.77994,-115.66423,Black-throated Sparrow,Calling,shrub,125-126,12:16,2,,,,,
754,5/8/2019,11:55,1:55,34.77994,-115.66423,Black-throated Sparrow,Calling,shrub,125-126,12:16,2,,,,,
755,5/8/2019,11:55,1:55,34.77971,-115.6637,Verdin,Preening,shrub,127,12:18,1,,,,,
756,5/8/2019,11:55,1:55,34.77975,-115.66363,Blue-gray Gnatcatcher,Flying Between Plants,shrub,,12:18,1,,,,,
757,5/8/2019,11:55,1:55,34.77975,-115.66363,Blue-gray Gnatcatcher,Flying Between Plants,shrub,,12:18,1,,,,,
758,5/8/2019,11:55,1:55,34.77975,-115.66363,Blue-gray Gnatcatcher,Flying Between Plants,shrub,,12:18,1,,,,,
759,5/8/2019,11:55,1:55,34.77975,-115.66363,Blue-gray Gnatcatcher,Flying Between Plants,shrub,,12:18,1,,,,,
760,5/8/2019,11:55,1:55,,,Black-throated Sparrow,Singing,no visual,,12:18,1,,,,,
761,5/8/2019,11:55,1:55,34.78041,-115.66382,Anna's Hummingbird,Foraging,shrub,128-129,12:29,1,,,,,
762,5/8/2019,11:55,1:55,34.78064,-115.66328,Northern Mockingbird,Singing,cactus canopy,130-140,12:30,3,,,,,
763,5/8/2019,11:55,1:55,34.7812,-115.66362,Black-throated Sparrow,Preening,shrub,141-144,12:40,1,,,,,
764,5/8/2019,11:55,1:55,34.7812,-115.66362,Black-throated Sparrow,Flying on Plant,shrub,,12:40,1,,,,,
765,5/8/2019,11:55,1:55,34.7812,-115.66362,Black-throated Sparrow,Flying on Plant,shrub,,12:40,1,,,,,
766,5/8/2019,11:55,1:55,34.78118,-115.66377,Black-throated Sparrow,Calling,cactus canopy,,12:40,1,,,,,
767,5/8/2019,11:55,1:55,34.78116,-115.66351,Blue-gray Gnatcatcher,Calling,shrub,145-147,12:41,1,,,,,
768,5/8/2019,11:55,1:55,34.78116,-115.66351,Blue-gray Gnatcatcher,Calling,shrub,145-147,12:41,1,,,,,
769,5/8/2019,11:55,1:55,34.78196,-115.66355,Costa's Hummingbird,Flying,air,150-159,13:05,1,,,,,
770,5/8/2019,11:55,1:55,34.78263,-115.66312,Gambel's Quail,Walking,wash,,13:27,1,,,,,
771,5/8/2019,11:55,1:55,,,Black-throated Sparrow,Calling,no visual,,13:42,1,,,,,
772,5/8/2019,11:55,1:55,34.78197,-115.66369,Nuttall's/Ladderback Woodpecker Hybrid,Calling,shrub,167-183,13:53,2,,pik call,,,
773,5/8/2019,11:55,1:55,34.78234,-115.66367,Rock Wren,Foraging,gravel,184-198,13:54,2,,,,,
774,5/9/2019,12:00,14:00,,,Phainopepla,Singing,no visual,,12:10,3,,,,,
775,5/9/2019,12:00,14:00,34.78289,-115.66273,Blue-gray Gnatcatcher,Flying on Plant,cactus canopy,,12:11,1,,,,,
776,5/9/2019,12:00,14:00,34.78288,-115.66272,Blue-gray Gnatcatcher,Foraging,cactus canopy,,12:14,1,,,,,
775.2,5/9/2019,12:00,14:00,,,Rock Wren,Calling,rock,,12:15,2,,,,,
776.2,5/9/2019,12:00,14:00,,,Black-throated Sparrow,Singing,no visual,,12:20,3,,,,,
777,5/9/2019,12:00,14:00,,,Black-throated Sparrow,Calling,no visual,,12:21,2,,,,,
778,5/9/2019,12:00,14:00,,,Black-throated Sparrow,Calling,no visual,,12:21,2,,,,,
779,5/9/2019,12:00,14:00,,,Canyon Wren,Singing,no visual,,12:23,3,,,,,
780,5/9/2019,12:00,14:00,,,Black-throated Sparrow,Singing,no visual,,12:35,3,,,,,
781,5/9/2019,12:00,14:00,,,Black-throated Sparrow,Calling,no visual,,12:41,2,,,,,
782,5/9/2019,12:00,14:00,,,Red-tailed Hawk,Calling,no visual,,12:49,3,,,,,
783,5/9/2019,12:00,14:00,,,Common Raven,Calling,no visual,,12:55,3,,,,,
784,5/9/2019,12:00,14:00,34.78171,-115.66255,Costa's Hummingbird,Singing,,,13:03,1,,,,,
785,5/9/2019,12:00,14:00,,,Black-throated Sparrow,Singing,no visual,,13:10,3,,,,,
786,5/9/2019,12:00,14:00,,,Black-throated Sparrow,Singing,no visual,,13:10,3,,,,,
787,5/9/2019,12:00,14:00,,,Canyon Wren,Singing,no visual,,13:29,3,,,,,
788,5/9/2019,12:00,14:00,,,Common Raven,Calling,no visual,,13:45,3,,,,,
789,5/9/2019,12:00,14:00,,,Common Raven,Calling,no visual,,13:45,3,,,,,
790,5/9/2019,12:00,14:00,,,Black-throated Sparrow,Calling,no visual,,13:45,3,,,,,
791,5/9/2019,12:00,14:00,34.77857,-115.6624,Say's Phoebe,Sitting on Plant,,,13:47,3,,,,,
792,5/9/2019,12:00,14:00,34.77962,-115.66238,Black-throated Sparrow,Singing,,,13:47,3,,,,,
