id,tag,lat,lon,x,y,z,newgrowth,health,branches,transect,meter,distance,blooms,buds,nest,notes
1,400,34.782159,-115.66252,53,49,52,15,5,210,1,5,1,y,100,n,
2,399,34.78162,-115.6625,71,60,55,20,3,500,1,10,0,y,90,n,
3,398,34.78164,-115.66244,20,13,23,18,5,50,1,15,2,n,0,n,
4,397,34.78157,-115.66238,120,103,85,100,4,1000,1,20,4,y,390,y,
5,396,78.78162,-115.6623,9,5,26,3,5,10,1,25,0,n,0,n,
6,395,34.78164,-115.66223,82,63,4,75,4,600,1,30,0,y,600,n,
7,394,34.78164,-115.66218,70,57,54,15,3,400,1,35,3,y,375,n,
8,393,34.78165,-115.66212,53,43,61,45,4,200,1,40,0,y,110,n,
9,392,34.78159,-115.66207,20,19,28,15,5,25,1,45,3,n,0,n,
10,391,34.78161,-115.66212,28,25,46,45,4,50,1,50,3,n,1,n,
11,390,34.78156,-115.66202,90,77,59,140,3,700,1,55,5,y,600,n,
12,389,34.78167,-115.66198,26,22,21,25,5,50,1,60,0,y,5,n,
13,388,34.78164,-115.66196,37,28,30,15,5,70,1,65,0,y,25,n,
14,387,34.78159,-115.66194,40,26,25,20,5,80,1,70,5,y,15,n,
15,386,34.78162,-115.66191,30,29,36,5,5,400,1,75,0,y,300,n,
16,385,34.78166,-115.66187,40,34,33,25,4,220,1,80,2,y,60,n,
17,384,34.78162,-115.66185,27,14,30,13,5,25,1,85,1,n,0,n,
18,383,34.7816,-115.6618,28,25,25,15,5,80,1,90,0,y,55,n,
19,382,34.78165,-115.66171,91,77,55,120,2,1400,1,95,0,y,200,n,
20,381,34.78164,-115.66168,17,12,34,15,5,30,1,100,0,y,0,n,
21,380,34.78153,-115.66167,90,80,69,130,4,1800,2,5,3,y,250,n,
22,379,34.78149,-115.66171,50,48,45,20,5,450,2,10,1,y,500,n,
23,378,34.7815,-115.66177,45,42,49,20,5,400,2,15,3,y,130,y,
24,377,34.78147,-115.66179,54,47,47,30,4,350,2,20,3,y,30,y,
25,376,34.78152,-115.66187,41,28,40,10,5,80,2,25,5,y,20,n,
26,375,34.78149,-115.6619,22,11,20,5,4,20,2,30,0,n,0,n,
27,374,34.78146,-115.66195,45,41,47,15,4,230,2,35,4,y,120,n,
28,373,34.78149,-115.66198,64,60,63,25,5,170,2,40,2,y,135,n,
29,372,34.78149,-115.66199,51,52,55,50,5,250,2,45,0,y,125,n,
30,371,34.78149,-115.66199,46,47,40,10,5,160,2,50,0,y,115,n,
31,370,34.78146,-115.66206,67,67,65,20,4,250,2,55,2,y,135,n,
32,369,34.78146,-115.78146,121,104,68,20,2,1200,2,60,1,y,200,n,
33,368,34.7815,-115.66219,93,64,46,70,1,750,2,65,0,y,110,n,
34,367,34.7815,-115.66223,17,15,23,15,5,25,2,70,0,y,1,n,
35,366,34.78151,-115.66225,34,26,35,20,5,60,2,75,0,y,15,n,
36,365,34.78154,-115.66229,76,51,59,15,5,450,2,80,4,y,100,n,
37,364,34.7815,-115.66237,37,24,42,1,5,80,2,85,0,y,40,n,
38,363,34.78149,-115.66245,63,40,48,30,5,350,2,90,0,y,125,n,
39,362,34.78149,-115.66248,23,22,40,25,5,50,2,95,1,n,0,n,
40,361,34.78154,-115.6625,43,39,49,45,5,170,2,100,2,y,20,n,
41,360,34.7814,-115.66259,13,13,31,2,5,15,3,5,2,n,0,n,
42,359,34.78258,-115.66303,42,37,37,40,5,200,3,10,5,y,30,n,
43,358,34.78144,-115.66251,90,71,53,10,4,650,3,15,0,y,500,n,
44,357,34.78141,-115.66248,45,31,40,15,5,250,3,20,2,y,220,n,
45,356,34.78144,-115.66244,77,70,49,20,5,1100,3,25,1,y,300,y,
46,355,34.78145,-115.66235,41,34,45,15,5,250,3,30,5,y,60,n,
47,354,34.78136,-115.66232,71,57,54,25,2,900,3,35,5,y,190,n,half of plant fallen over and dead did not count fleshless branches in measurements
48,353,34.78133,-115.66225,34,29,34,30,5,110,3,40,5,n,0,n,
49,352,34.78136,-115.66223,15,9,25,10,5,20,3,45,4,n,0,n,
50,351,34.78134,-115.6622,25,18,29,12,5,35,3,50,5,y,2,n,
51,350,34.78136,-115.66216,82,79,59,10,3,520,3,55,0,y,130,n,
52,349,34.7813,-115.66215,48,32,46,15,5,50,3,60,5,y,2,n,
53,345,34.78134,-115.66209,51,36,57,40,5,250,3,65,2,y,60,n,
54,344,34.78133,-115.66201,57,47,52,15,4,450,3,70,3,y,300,n,
55,343,34.78138,-115.66196,34,29,47,15,5,100,3,75,3,y,10,n,
56,342,34.78134,-115.66193,52,40,44,75,5,250,3,80,1,y,20,n,
57,341,34.7813,-115.66187,72,71,46,110,4,650,3,85,5,y,200,n,
58,340,34.7813,-115.66187,58,46,53,15,4,210,3,90,0,y,100,n,
59,339,34.78136,-115.66178,11,10,29,1,5,30,3,95,2,n,0,n,
60,338,34.78134,-115.66168,48,47,52,10,5,300,3,100,3,y,65,n,
61,337,34.78128,-115.66262,31,29,36,15,5,130,4,5,2,y,10,n,
62,336,34.78136,-115.66257,63,55,51,55,5,400,4,10,5,y,75,n,
63,335,34.78129,-115.66248,30,25,37,15,5,110,4,15,1,y,10,n,
64,334,34.78127,-115.66245,63,54,51,40,5,800,4,20,0,y,370,y,
65,333,34.78122,-115.66238,63,63,56,24,5,1100,4,25,0,y,500,n,
66,331,34.78124,-115.66232,18,14,28,15,5,60,4,30,2,n,0,n,
67,332,34.78128,-115.66232,83,58,45,50,2,600,4,35,5,y,10,n,
68,330,34.78129,-115.66224,9,5,23,2,5,20,4,40,4,n,0,n,
69,329,34.78121,-115.66219,22,9,30,4,5,30,4,45,0,n,0,n,
70,328,34.78124,-115.66216,98,78,58,0,1,650,4,50,3,y,0,y,perhaps dead or dying plant
71,327,34.7812,-115.66211,25,6,30,5,5,30,4,55,0,n,0,n,
72,326,34.7812,-115.66205,89,50,58,20,3,540,4,60,3,y,110,n,
73,325,34.78122,-115.66202,79,72,63,45,5,900,4,65,3,y,200,y,
74,323,34.78117,-115.66196,43,34,34,30,5,200,4,70,2,y,10,n,
75,324,34.78111,-115.6619,56,43,49,35,5,350,4,75,5,y,240,y,
76,322,34.6618,-115.6618,32,32,45,5,5,260,4,80,5,y,80,n,
77,321,34.78122,-115.66178,47,45,43,40,5,330,4,85,5,y,40,n,
78,320,34.78109,-115.6617,15,10,23,8,5,15,4,90,4,n,0,n,
79,319,34.78111,-115.66167,72,57,41,40,3,500,4,95,1,y,140,n,
80,318,34.78111,-115.66163,65,55,51,20,5,520,4,100,0,y,80,n,
81,317,34.78116,-115.66267,37,33,45,5,5,140,5,5,0,y,40,n,
82,316,34.78114,-115.66258,61,56,44,35,5,150,5,10,1,y,25,n,
83,315,34.78113,-115.66251,17,11,25,15,5,30,5,15,1,n,0,n,
84,314,34.78112,-115.66245,34,34,34,20,5,100,5,20,0,y,20,n,
85,313,34.78103,-115.66241,47,47,47,25,4,450,5,25,5,y,115,n,
86,312,34.78102,-115.66236,25,15,21,10,4,25,5,30,3,n,0,n,
87,311,34.78107,-115.66231,78,60,57,20,5,1000,5,35,0,y,170,n,
88,310,34.78111,-115.66221,115,107,66,45,2,1100,5,40,5,y,230,y,
89,309,34.78104,-115.66231,63,49,48,25,5,250,5,45,2,y,55,n,
